TemperatureC,DewPointC,Humidity,SeaLevelPressurehPa,VisibilityKm,WindSpeedKmh,WindDirDegrees,Office_Autumn
21.2,21.2,200.0,2032.6,0.8,5.6,170,281.54
21.2,21.2,200.0,2034.7,0.8,5.6,360,289.14
33.3,32.8,297.0,3055.7,1.2000000000000002,5.6,80,301.83
33.3,33.3,300.0,3057.2,1.2000000000000002,5.6,120,275.0
34.5,33.3,292.0,3058.2,4.0,0.0,0,262.63
49.7,46.5,380.0,4078.3,23.200000000000003,7.4,260,256.98
30.0,23.4,162.0,2036.4,25.8,16.700000000000003,260,257.18
17.8,10.6,63.0,1016.8,16.1,7.4,0,252.41
19.4,8.3,49.0,1016.0,16.1,7.4,240,247.13
20.0,8.3,47.0,1015.6,16.1,0.0,0,241.12
20.0,7.2,43.0,1015.8,16.1,7.4,270,233.24
19.4,7.2,45.0,1016.1,16.1,9.3,250,218.45
17.2,11.1,67.0,1016.8,16.1,7.4,120,224.48
16.1,10.0,67.0,1017.5,16.1,0.0,0,244.22
15.0,9.4,69.0,1017.6,16.1,9.3,100,248.37
13.9,10.6,81.0,1017.8,16.1,9.3,110,200.6
13.3,10.0,80.0,1018.1,16.1,14.8,90,168.98
12.8,10.6,86.0,1018.5,16.1,14.8,90,129.34
17.2,8.3,56.0,1011.5,16.1,11.1,140,134.66
16.7,8.3,58.0,1011.8,16.1,5.6,130,134.99
16.7,8.3,58.0,1011.7,16.1,7.4,100,147.99
16.1,8.9,62.0,1011.6,16.1,11.1,110,151.85
16.1,8.3,60.0,1011.8,16.1,9.3,140,156.61
16.1,8.3,60.0,1012.2,16.1,9.3,90,163.92
16.1,8.9,62.0,1012.6,16.1,9.3,110,194.62
16.1,8.9,62.0,1013.2,16.1,13.0,140,302.95
16.7,8.9,60.0,1013.8,16.1,20.4,160,276.49
18.3,9.4,56.0,1014.1,16.1,16.7,160,234.97
18.9,8.9,52.0,1014.0,16.1,18.5,170,222.68
20.6,9.4,49.0,1013.4,16.1,16.7,180,213.94
22.2,8.9,43.0,1012.4,16.1,16.7,190,212.65
23.9,7.8,36.0,1011.2,16.1,25.9,180,206.51
25.0,7.2,32.0,1010.4,16.1,20.4,190,195.77
24.4,6.7,32.0,1010.0,16.1,20.4,200,193.71
24.4,6.7,32.0,1009.7,16.1,27.8,200,179.62
23.3,6.1,33.0,1010.0,16.1,22.2,190,178.74
22.2,6.7,37.0,1010.4,16.1,11.1,190,199.5
21.1,7.2,41.0,1010.7,16.1,5.6,210,106.16
21.1,8.3,44.0,1011.2,16.1,13.0,290,72.47
20.0,8.9,49.0,1011.8,16.1,11.1,260,81.19
19.4,9.4,52.0,1012.3,16.1,7.4,190,106.88
18.9,10.0,56.0,1012.3,16.1,11.1,160,118.88
26.7,3.9,23.0,1008.3,16.1,11.1,310,121.77
24.4,4.4,27.0,1008.6,16.1,11.1,150,129.87
22.8,4.4,30.0,1008.8,16.1,9.3,90,140.12
21.7,5.0,34.0,1008.7,16.1,13.0,90,152.06
21.7,5.0,34.0,1008.6,16.1,13.0,80,156.4
20.6,5.6,38.0,1009.1,16.1,7.4,130,155.41
20.6,6.1,39.0,1009.6,16.1,9.3,100,171.28
22.8,5.6,33.0,1009.7,16.1,16.7,100,276.22
24.4,5.6,30.0,1010.0,16.1,14.8,150,263.16
27.2,5.0,24.0,1010.2,16.1,16.7,140,220.69
28.9,2.8,19.0,1009.8,16.1,16.7,200,208.3
28.9,2.2,18.0,1009.1,16.1,11.1,270,200.02
30.6,2.8,17.0,1008.5,16.1,13.0,230,195.07
31.1,2.8,16.0,1007.6,16.1,11.1,250,186.53
32.2,1.1,14.0,1006.8,16.1,13.0,210,167.53
32.2,-3.3,10.0,1006.5,16.1,20.4,250,158.95
31.1,-1.7,12.0,1006.2,16.1,14.8,250,155.85
30.6,-3.3,11.0,1005.9,16.1,13.0,250,153.24
30.0,-3.3,11.0,1005.8,16.1,14.8,250,161.49
28.3,-5.0,11.0,1006.5,16.1,13.0,260,113.44
26.1,-4.4,13.0,1007.0,16.1,7.4,220,98.11
26.1,-6.1,12.0,1007.0,16.1,5.6,200,97.3
26.7,-7.2,10.0,1007.3,16.1,14.8,290,101.79
22.8,-4.4,16.0,1007.7,16.1,5.6,220,105.13
25.6,3.9,25.0,1006.5,16.1,0.0,0,105.26
25.0,3.3,24.0,1006.4,16.1,0.0,0,112.45
24.4,3.3,25.0,1006.8,16.1,0.0,0,118.11
23.3,1.7,24.0,1007.2,16.1,13.0,90,238.62
22.2,2.2,27.0,1007.5,16.1,9.3,90,243.51
21.7,2.2,28.0,1008.3,16.1,11.1,120,234.57
22.8,0.6,23.0,1009.1,16.1,11.1,120,245.14
25.0,-0.6,19.0,1009.6,16.1,13.0,90,255.67
27.8,-0.6,16.0,1009.8,16.1,11.1,100,291.87
30.6,-0.6,13.0,1010.1,16.1,0.0,0,279.19
32.8,-3.9,9.0,1009.9,16.1,5.6,0,270.63
33.9,-3.9,9.0,1009.1,16.1,11.1,290,271.39
36.1,-5.6,7.0,1008.2,16.1,13.0,290,268.43
36.7,-6.7,6.0,1007.4,16.1,13.0,340,255.85
37.8,-6.7,6.0,1006.3,16.1,13.0,300,238.68
37.2,-7.8,5.0,1005.6,16.1,18.5,290,228.56
37.2,-8.3,5.0,1005.2,16.1,13.0,240,219.73
37.2,-8.9,5.0,1005.0,16.1,22.2,270,190.41
36.1,-7.2,6.0,1005.0,16.1,20.4,280,178.81
34.4,-6.1,7.0,1005.3,16.1,14.8,260,185.27
32.2,-3.3,10.0,1005.8,16.1,11.1,250,192.56
31.7,-2.2,11.0,1006.2,16.1,14.8,260,131.14
28.3,-0.6,15.0,1006.4,16.1,7.4,240,106.69
29.4,-1.1,14.0,1006.6,16.1,11.1,330,106.61
32.2,-3.3,10.0,1007.6,16.1,5.6,30,105.52
29.4,0.6,16.0,1008.1,16.1,9.3,130,103.72
30.0,2.2,17.0,1008.1,16.1,9.3,60,84.63
28.9,0.6,16.0,1008.3,16.1,9.3,70,197.36
26.7,1.1,19.0,1008.6,16.1,13.0,120,211.57
26.1,1.7,20.0,1009.3,16.1,14.8,110,204.48
26.7,2.8,21.0,1009.6,16.1,13.0,100,211.03
29.4,-0.6,14.0,1010.1,16.1,14.8,130,235.29
31.7,-0.6,12.0,1010.5,16.1,11.1,150,265.39
33.9,-1.7,10.0,1010.3,16.1,5.6,110,258.86
35.6,-2.2,9.0,1010.2,16.1,11.1,190,248.83
37.2,-2.8,8.0,1010.0,16.1,11.1,150,245.82
38.9,-2.2,7.0,1009.1,16.1,14.8,250,239.69
38.3,-2.8,7.0,1008.4,16.1,5.6,100,228.95
39.4,-2.8,7.0,1007.6,16.1,20.4,270,216.76
40.6,-5.0,6.0,1007.0,16.1,29.6,260,218.61
40.6,-5.6,5.0,1006.7,16.1,20.4,250,206.6
39.4,-5.6,6.0,1006.3,16.1,31.5,290,182.35
77.3,-12.6,11.0,2014.9,32.2,53.7,550,159.62
37.2,-6.7,6.0,1006.7,16.1,24.1,290,161.56
36.7,-5.6,7.0,1007.0,16.1,22.2,280,170.05
32.2,-1.7,11.0,1007.7,16.1,11.1,230,140.48
31.7,-1.1,12.0,1007.9,16.1,5.6,200,122.87
31.7,-3.3,10.0,1008.0,16.1,9.3,240,120.79
33.3,17.2,38.0,1008.1,16.1,5.6,0,118.92
33.3,16.1,35.0,1008.8,16.1,13.0,310,109.97
30.6,19.4,51.0,1009.7,16.1,14.8,140,94.81
30.0,19.4,53.0,1010.0,16.1,18.5,140,168.89
29.4,19.4,55.0,1010.1,16.1,13.0,130,173.39
28.9,18.9,55.0,1010.5,16.1,16.7,150,171.5
29.4,18.9,53.0,1010.7,16.1,14.8,140,165.04
31.1,18.9,48.0,1010.9,16.1,9.3,110,195.41
32.8,16.7,38.0,1010.6,16.1,9.3,240,242.31
33.9,16.1,34.0,1010.5,16.1,13.0,290,247.43
34.4,15.6,32.0,1010.1,16.1,5.6,290,236.72
36.1,15.6,29.0,1009.6,16.1,5.6,20,231.42
37.8,15.6,27.0,1009.0,16.1,24.1,280,223.62
38.9,15.0,24.0,1008.1,16.1,24.1,270,218.45
40.0,14.4,22.0,1007.2,16.1,27.8,270,216.22
40.0,13.9,21.0,1006.5,16.1,25.9,260,211.36
40.0,13.9,21.0,1006.2,16.1,27.8,270,206.82
38.9,13.9,22.0,1006.3,16.1,24.1,260,176.46
37.8,14.4,25.0,1006.3,16.1,27.8,260,161.98
36.1,16.1,30.0,1006.7,16.1,25.9,250,166.7
36.1,16.1,30.0,1007.9,16.1,22.2,260,166.05
34.4,16.1,33.0,1008.4,16.1,24.1,260,138.46
33.9,15.6,33.0,1008.9,16.1,22.2,250,130.17
33.3,15.0,33.0,1009.3,16.1,22.2,260,128.59
27.2,22.2,74.0,1011.5,16.1,5.6,180,125.65
27.8,21.7,69.0,1010.8,16.1,0.0,0,121.67
27.8,21.7,69.0,1010.5,16.1,11.1,330,114.37
27.8,21.1,67.0,1010.2,16.1,5.6,330,135.55
28.3,20.6,63.0,1010.4,16.1,9.3,280,133.18
28.3,20.6,63.0,1010.7,16.1,11.1,290,126.86
28.3,21.1,65.0,1011.2,16.1,11.1,260,135.66
28.3,21.1,65.0,1011.6,16.1,9.3,260,159.12
30.0,20.6,57.0,1011.5,16.1,5.6,240,223.44
32.2,18.9,45.0,1011.2,16.1,5.6,200,224.87
34.4,20.0,43.0,1010.9,16.1,11.1,0,216.91
35.0,17.8,36.0,1010.3,16.1,0.0,0,230.43
36.7,17.8,33.0,1009.4,16.1,0.0,0,220.29
37.8,17.2,29.0,1008.1,16.1,13.0,280,222.12
38.3,17.2,29.0,1007.2,16.1,11.1,200,210.75
38.9,16.1,26.0,1006.2,16.1,11.1,240,210.93
39.4,15.0,23.0,1005.4,16.1,14.8,220,201.44
39.4,13.3,21.0,1004.9,16.1,13.0,350,188.62
38.3,15.0,25.0,1004.8,16.1,9.3,240,185.18
37.2,16.1,28.0,1005.4,16.1,13.0,240,172.7
36.7,15.6,28.0,1006.0,16.1,9.3,240,171.81
34.4,18.3,38.0,1006.3,16.1,7.4,230,134.99
33.9,18.3,39.0,1006.4,16.1,7.4,230,115.8
33.9,16.7,36.0,1006.5,16.1,11.1,240,113.77
0.0,0.0,0.0,0.0,0.0,0.0,0,115.52
0.0,0.0,0.0,0.0,0.0,0.0,0,111.32
26.9,18.7,61.0,1012.4,16.1,11.1,120,93.46
0.0,0.0,0.0,0.0,0.0,0.0,0,175.6
0.0,0.0,0.0,0.0,0.0,0.0,0,178.46
26.1,19.4,66.0,1010.1,16.1,5.6,100,180.83
26.7,20.6,69.0,1010.4,16.1,0.0,0,187.26
28.3,17.8,53.0,1011.4,16.1,0.0,0,209.75
28.9,18.3,53.0,1011.4,16.1,7.4,110,237.81
30.6,17.8,46.0,1013.4,16.1,16.7,90,233.59
32.2,17.8,42.0,1013.1,16.1,14.8,110,232.64
32.8,17.8,41.0,1012.4,16.1,7.4,140,218.38
35.0,18.3,37.0,1011.7,16.1,13.0,130,218.87
36.1,17.2,32.0,1011.1,16.1,13.0,170,219.61
36.1,16.7,31.0,1010.0,16.1,11.1,100,205.58
37.2,15.6,28.0,1009.4,16.1,7.4,200,200.27
36.1,15.0,28.0,1009.0,16.1,0.0,0,198.85
36.7,15.0,27.0,1006.9,16.1,9.3,70,172.01
36.1,15.0,28.0,1006.9,16.1,7.4,80,152.16
35.6,15.0,29.0,1007.9,16.1,13.0,60,155.44
35.0,15.0,30.0,1008.6,16.1,11.1,60,159.94
33.9,16.7,36.0,1008.6,16.1,7.4,110,136.98
32.2,18.3,43.0,1009.0,16.1,0.0,0,117.84
32.2,18.3,43.0,1009.4,16.1,5.6,240,96.37
30.0,9.4,28.0,1007.5,16.1,5.6,130,93.12
28.9,7.8,26.0,1007.8,16.1,13.0,90,85.17
28.3,7.8,27.0,1007.7,16.1,11.1,110,72.15
27.2,7.8,29.0,1008.0,16.1,14.8,90,67.16
26.7,8.3,31.0,1008.5,16.1,9.3,100,64.94
26.1,6.7,29.0,1009.0,16.1,14.8,80,66.56
25.6,7.8,32.0,1009.8,16.1,14.8,90,79.85
27.8,7.8,28.0,1010.2,16.1,14.8,80,187.99
30.0,7.8,25.0,1010.6,16.1,14.8,100,158.66
32.8,7.8,21.0,1010.6,16.1,14.8,110,145.28
35.0,7.8,19.0,1010.3,16.1,13.0,130,125.92
37.2,6.1,15.0,1009.6,16.1,9.3,140,120.01
38.3,5.6,13.0,1008.7,16.1,16.7,140,113.47
39.4,5.0,12.0,1007.3,16.1,11.1,140,125.95
41.1,3.3,10.0,1006.4,16.1,7.4,160,119.24
40.6,2.8,10.0,1006.0,16.1,7.4,0,121.21
40.0,2.2,10.0,1005.7,16.1,13.0,290,108.53
38.9,2.2,10.0,1005.8,16.1,22.2,260,112.03
36.7,2.2,11.0,1006.1,16.1,13.0,250,130.24
34.4,3.3,14.0,1006.4,16.1,9.3,250,84.54
34.4,3.9,15.0,1006.6,16.1,9.3,250,67.91
33.9,7.2,19.0,1006.8,16.1,14.8,270,67.11
33.3,6.7,19.0,1007.0,16.1,5.6,320,65.92
31.1,6.7,22.0,1007.0,16.1,7.4,180,66.84
18.3,6.7,47.0,1015.3,16.1,11.1,100,65.84
17.8,6.1,46.0,1015.3,16.1,13.0,100,67.12
17.2,6.1,48.0,1015.1,16.1,11.1,110,66.88
16.1,6.7,54.0,1015.0,16.1,13.0,90,69.91
16.1,6.1,52.0,1015.5,16.1,16.7,110,67.78
15.0,6.7,58.0,1015.9,16.1,13.0,130,70.78
15.0,6.7,58.0,1016.4,16.1,14.8,110,78.68
16.7,7.2,53.0,1017.2,16.1,11.1,110,203.37
18.9,6.7,45.0,1017.9,16.1,16.7,120,188.06
21.1,6.1,38.0,1017.8,16.1,11.1,130,151.06
23.3,5.0,30.0,1017.3,16.1,0.0,0,134.38
25.0,5.0,28.0,1016.5,16.1,5.6,120,127.7
26.1,3.9,24.0,1015.5,16.1,5.6,100,115.55
27.8,3.9,22.0,1014.4,16.1,7.4,150,128.02
28.9,3.9,20.0,1013.7,16.1,5.6,240,120.62
28.9,3.3,19.0,1013.1,16.1,0.0,0,119.78
28.3,3.9,21.0,1012.8,16.1,0.0,0,114.72
27.8,4.4,22.0,1012.5,16.1,0.0,0,110.51
26.7,4.4,24.0,1013.0,16.1,0.0,0,116.12
23.3,7.2,35.0,1013.2,16.1,0.0,0,91.71
23.3,6.7,34.0,1012.8,16.1,5.6,110,84.47
21.7,7.2,39.0,1012.8,16.1,9.3,100,83.91
20.6,7.2,42.0,1012.9,16.1,14.8,90,81.72
19.4,6.7,44.0,1012.6,16.1,13.0,100,82.11
7.2,-3.9,46.0,1018.2,16.1,0.0,0,83.54
6.7,-2.2,53.0,1017.8,16.1,9.3,100,82.04
6.1,-3.9,49.0,1017.8,16.1,0.0,0,83.73
5.6,-3.9,51.0,1017.7,16.1,5.6,130,154.61
5.0,-4.4,51.0,1017.8,16.1,0.0,0,145.91
5.0,-4.4,51.0,1018.3,16.1,5.6,100,142.66
5.0,-4.4,51.0,1018.7,16.1,9.3,110,149.05
5.0,-4.4,51.0,1019.4,16.1,7.4,90,180.88
7.2,-4.4,44.0,1020.0,16.1,5.6,110,230.29
9.4,-6.1,33.0,1020.6,16.1,0.0,0,237.28
11.7,-6.7,27.0,1020.4,16.1,7.4,40,238.12
13.9,-6.7,24.0,1019.6,16.1,5.6,0,226.99
14.4,-7.2,22.0,1018.6,16.1,5.6,240,224.33
16.7,-7.8,18.0,1017.6,16.1,5.6,230,224.17
17.8,-7.8,17.0,1017.0,16.1,9.3,240,213.46
17.8,-7.8,17.0,1016.8,16.1,9.3,240,209.3
17.2,-7.8,18.0,1017.1,16.1,9.3,270,196.34
15.0,-6.7,22.0,1017.7,16.1,7.4,240,177.4
13.3,-6.1,26.0,1018.4,16.1,5.6,230,164.76
13.3,-6.7,25.0,1018.9,16.1,0.0,0,175.72
13.9,-6.1,25.0,1019.4,16.1,5.6,330,170.72
12.8,-6.1,27.0,1019.8,16.1,0.0,0,132.53
8.3,-4.4,41.0,1020.5,16.1,7.4,120,106.33
8.9,-5.0,37.0,1020.1,16.1,5.6,100,105.4
13.9,10.6,81.0,1016.7,16.1,0.0,0,103.91
12.8,10.6,86.0,1016.5,14.5,0.0,0,101.29
13.3,10.6,84.0,1016.4,16.1,0.0,0,82.36
12.8,10.6,86.0,1016.0,16.1,5.6,110,157.9
12.8,10.0,83.0,1016.0,16.1,7.4,130,158.49
12.8,10.6,86.0,1015.8,16.1,0.0,0,154.35
12.8,10.6,86.0,1015.8,16.1,7.4,240,161.88
12.2,10.0,86.0,1015.5,16.1,7.4,130,180.06
13.9,10.0,77.0,1016.2,16.1,0.0,0,225.0
15.0,10.6,75.0,1016.9,16.1,0.0,0,234.13
15.0,10.6,75.0,1017.1,11.3,0.0,0,237.61
41.1,31.200000000000003,242.0,3052.2,32.3,57.5,1010,227.43
12.0,11.0,94.0,1016.1,16.1,14.8,100,237.84
14.0,10.0,77.0,1015.5,16.1,9.3,110,240.37
15.0,8.9,67.0,1014.8,16.1,9.3,60,234.35
17.2,8.9,58.0,1014.4,16.1,0.0,0,237.72
16.1,8.3,60.0,1014.8,16.1,0.0,0,225.89
16.1,9.4,64.0,1015.0,16.1,7.4,100,194.36
14.4,10.0,75.0,1015.5,16.1,5.6,110,184.8
13.9,8.9,72.0,1015.6,16.1,5.6,100,187.69
13.9,8.9,72.0,1015.9,16.1,7.4,90,188.86
12.2,8.3,77.0,1016.1,16.1,11.1,100,149.24
11.1,7.8,80.0,1016.8,16.1,11.1,100,119.33
11.1,7.2,77.0,1016.9,16.1,11.1,120,116.95
10.6,7.8,83.0,1016.9,16.1,7.4,90,112.71
9.4,7.8,90.0,1017.0,16.1,5.6,110,109.61
10.0,7.2,83.0,1017.2,16.1,9.3,100,96.81
9.4,6.7,83.0,1017.2,16.1,11.1,60,187.48
8.3,6.7,90.0,1017.1,16.1,0.0,0,206.12
9.4,6.1,80.0,1017.9,16.1,5.6,310,199.92
8.9,6.7,86.0,1018.3,16.1,5.6,200,205.72
8.3,6.1,86.0,1018.7,16.1,0.0,0,224.4
10.6,6.7,77.0,1019.1,16.1,5.6,10,264.44
11.7,6.7,71.0,1020.1,16.1,5.6,290,254.19
13.9,6.1,59.0,1020.7,16.1,5.6,360,248.86
15.6,5.6,51.0,1020.1,16.1,13.0,10,249.94
16.7,5.0,46.0,1019.0,16.1,0.0,0,249.56
17.8,5.0,43.0,1018.2,16.1,7.4,0,241.85
18.9,4.4,38.0,1018.3,16.1,7.4,130,225.6725
18.3,3.3,37.0,1018.2,16.1,0.0,0,222.9125
18.9,3.3,36.0,1018.9,16.1,9.3,210,216.155
17.2,3.9,41.0,1019.5,16.1,7.4,220,197.25
17.2,4.4,43.0,1020.4,16.1,11.1,300,176.7
14.4,6.1,58.0,1020.8,16.1,0.0,0,182.66
14.4,5.6,56.0,1021.2,16.1,0.0,0,183.5125
13.3,6.1,62.0,1022.0,16.1,5.6,110,165.465
11.7,6.7,71.0,1022.7,16.1,5.6,110,152.725
11.1,6.7,74.0,1023.0,16.1,0.0,0,148.3625
10.6,5.0,68.0,1023.0,16.1,0.0,0,141.63
10.6,3.9,63.0,1023.0,16.1,5.6,80,133.0775
10.6,3.9,63.0,1022.8,16.1,5.6,350,124.105
9.4,3.9,69.0,1022.7,16.1,7.4,100,152.2975
10.0,2.8,61.0,1022.9,16.1,7.4,80,169.035
9.4,3.3,66.0,1023.4,16.1,9.3,90,170.6375
9.4,2.8,64.0,1023.9,16.1,5.6,90,174.6175
8.3,3.3,71.0,1024.3,16.1,0.0,0,198.2925
13.3,2.2,47.0,1024.9,16.1,11.1,40,217.75
15.0,3.3,46.0,1025.9,16.1,0.0,0,228.465
17.2,2.2,37.0,1025.9,16.1,24.1,70,222.0675
17.8,1.7,34.0,1024.8,16.1,22.2,70,216.7375
18.9,1.7,32.0,1023.2,16.1,22.2,70,212.7175
20.6,0.6,26.0,1022.1,16.1,20.4,60,211.83
21.1,0.6,26.0,1021.8,16.1,11.1,50,209.805
21.7,0.6,25.0,1021.4,16.1,0.0,0,207.7825
21.7,-0.6,23.0,1020.9,16.1,9.3,80,195.1075
20.6,1.7,29.0,1021.3,16.1,5.6,90,184.2875
18.3,2.8,36.0,1021.9,16.1,7.4,110,173.535
16.7,2.8,39.0,1022.2,16.1,16.7,70,173.145
15.0,2.8,44.0,1022.2,16.1,13.0,70,180.8825
17.8,0.6,31.0,1022.1,16.1,13.0,60,141.4975
15.6,1.7,39.0,1022.5,16.1,11.1,80,118.495
15.6,2.2,41.0,1022.5,16.1,16.7,70,109.4225
14.0,2.0,44.0,1022.9,16.1,16.7,70,109.795
13.3,2.8,49.0,1022.0,16.1,14.8,80,106.72
12.8,2.8,51.0,1022.1,16.1,11.1,110,99.295
13.3,2.2,47.0,1021.5,16.1,11.1,80,125.735
10.6,3.3,61.0,1021.1,16.1,0.0,0,158.735
11.7,2.2,52.0,1020.8,16.1,9.3,110,160.45
10.0,2.2,59.0,1021.6,16.1,5.6,200,172.8325
10.0,2.2,59.0,1022.3,16.1,0.0,0,210.44
13.3,3.3,51.0,1022.0,16.1,0.0,0,243.28
16.7,0.6,34.0,1022.2,16.1,24.1,70,237.36
18.3,-0.6,28.0,1022.7,16.1,22.2,60,238.98
20.0,-1.1,24.0,1021.8,16.1,13.0,60,221.09
21.7,-2.8,19.0,1020.3,16.1,9.3,150,214.25
21.1,-2.8,20.0,1019.1,16.1,5.6,0,225.26
22.8,-2.8,18.0,1018.3,16.1,0.0,0,221.37
22.8,-2.8,18.0,1018.0,16.1,0.0,0,200.96
22.2,-3.3,18.0,1018.1,16.1,0.0,0,193.78
21.1,-3.3,19.0,1017.8,16.1,0.0,0,170.33
20.6,-3.3,20.0,1018.7,16.1,9.3,350,152.79
16.1,1.1,36.0,1019.4,16.1,7.4,240,164.91
15.0,1.7,41.0,1019.5,16.1,5.6,230,169.6
14.4,2.2,44.0,1019.7,16.1,11.1,80,137.58
14.4,1.1,41.0,1019.8,16.1,0.0,0,123.19
12.8,1.1,45.0,1019.5,16.1,9.3,110,94.06
11.7,1.1,48.0,1019.3,16.1,5.6,100,92.55
11.7,1.1,48.0,1019.8,16.1,9.3,90,83.2
10.0,1.1,54.0,1020.1,16.1,5.6,220,67.99
10.0,1.1,54.0,1020.1,16.1,9.3,110,67.16
9.4,1.7,59.0,1020.5,16.1,5.6,70,70.99
8.9,1.7,61.0,1021.0,16.1,9.3,90,75.6
8.9,1.1,58.0,1021.3,16.1,7.4,120,91.79
9.4,1.1,56.0,1022.3,16.1,11.1,100,222.07
11.7,1.1,48.0,1022.7,16.1,14.8,120,196.94
14.4,0.6,39.0,1023.1,16.1,13.0,140,171.52
17.2,0.6,33.0,1023.4,16.1,14.8,110,144.85
19.4,0.0,27.0,1022.8,16.1,9.3,120,133.66
20.0,-1.1,24.0,1021.2,16.1,5.6,0,129.43
20.6,-2.2,22.0,1020.3,16.1,7.4,300,120.82
21.7,-2.2,20.0,1020.3,16.1,7.4,300,120.53
22.2,-1.7,20.0,1020.2,16.1,7.4,320,125.68
22.2,-1.7,20.0,1020.0,16.1,9.3,270,120.19
21.7,-2.2,20.0,1020.7,16.1,9.3,310,110.89
18.9,1.1,30.0,1021.1,16.1,0.0,0,112.21
16.7,2.2,38.0,1021.4,16.1,5.6,220,81.74
16.1,2.2,39.0,1021.2,16.1,0.0,0,68.77
16.7,1.1,35.0,1021.9,16.1,7.4,10,69.14
13.9,2.8,47.0,1022.6,16.1,5.6,120,65.86
13.9,2.8,47.0,1022.8,16.1,5.6,140,67.13
12.8,2.8,51.0,1023.0,16.1,5.6,120,67.31
11.7,3.3,57.0,1022.7,16.1,9.3,100,67.57
11.1,3.3,59.0,1022.6,16.1,11.1,100,66.52
11.1,2.8,57.0,1022.4,16.1,13.0,100,67.9
10.0,2.8,61.0,1022.5,16.1,7.4,80,69.94
10.0,3.3,63.0,1022.7,16.1,5.6,110,70.42
10.0,2.8,61.0,1023.2,16.1,5.6,70,79.87
10.0,2.8,61.0,1023.8,16.1,5.6,70,211.34
12.2,3.3,55.0,1023.9,16.1,5.6,120,196.19
14.4,2.8,46.0,1024.4,16.1,11.1,60,168.76
17.2,2.8,38.0,1024.2,16.1,9.3,110,153.06
19.4,1.7,31.0,1023.3,16.1,0.0,0,132.93
21.1,1.7,28.0,1021.8,16.1,0.0,0,127.51
22.2,1.1,25.0,1020.4,16.1,0.0,0,115.66
22.8,1.7,25.0,1019.7,16.1,5.6,280,115.0
23.9,1.1,22.0,1019.3,16.1,5.6,260,113.6
23.3,1.1,23.0,1019.2,16.1,9.3,320,117.86
22.2,0.6,24.0,1019.4,16.1,9.3,330,104.16
20.6,1.7,29.0,1019.8,16.1,5.6,310,113.42
19.4,2.2,32.0,1019.9,16.1,0.0,0,89.03
17.2,3.9,41.0,1019.6,16.1,0.0,0,83.98
15.0,5.0,51.0,1019.6,16.1,5.6,120,85.26
14.4,4.4,51.0,1019.7,16.1,0.0,0,82.49
13.9,4.4,53.0,1019.9,16.1,0.0,0,85.6
13.9,4.4,53.0,1019.5,16.1,0.0,0,85.3
11.7,5.6,66.0,1019.6,16.1,0.0,0,83.88
11.7,5.0,64.0,1019.3,16.1,11.1,90,85.71
11.7,4.4,61.0,1019.3,16.1,5.6,130,168.69
11.1,4.4,63.0,1019.4,16.1,9.3,80,177.79
10.6,4.4,66.0,1019.3,16.1,14.8,100,176.12
10.6,3.9,63.0,1019.5,16.1,14.8,100,174.22
10.0,4.4,68.0,1020.0,16.1,9.3,100,182.69
12.8,3.9,55.0,1020.1,16.1,9.3,130,167.6
15.0,3.3,46.0,1020.4,16.1,14.8,140,152.3
